date_created,location,measurement,value
07/03/2023,Bến đò Phước Thiện - Đông Hải - Duyên Hải,Độ mặn(‰),25
07/03/2023,Bến đò Phước Thiện - Đông Hải - Duyên Hải,pH,8.0
07/03/2023,Bến đò Phước Thiện - Đông Hải - Duyên Hải,Kiềm(mg/l),107
07/03/2023,Bến đò Phước Thiện - Đông Hải - Duyên Hải,NH4/NH3(mg/l),0
07/03/2023,Bến đò Phước Thiện - Đông Hải - Duyên Hải,Nhiệt độ (0C),27
07/03/2023,Bến đò Phước Thiện - Đông Hải - Duyên Hải,Oxy(mg/l),3.0
07/03/2023,Bến đò Phước Thiện - Đông Hải - Duyên Hải,Virus gây bệnhđốm trắng,
07/03/2023,HTX nghêu Thành Đạt - Hiệp Thạnh - TX. Duyên Hải,Độ mặn(‰),20
07/03/2023,HTX nghêu Thành Đạt - Hiệp Thạnh - TX. Duyên Hải,pH,8.5
07/03/2023,HTX nghêu Thành Đạt - Hiệp Thạnh - TX. Duyên Hải,Kiềm(mg/l),90
07/03/2023,HTX nghêu Thành Đạt - Hiệp Thạnh - TX. Duyên Hải,NH4/NH3(mg/l),0
07/03/2023,HTX nghêu Thành Đạt - Hiệp Thạnh - TX. Duyên Hải,Nhiệt độ (0C),28
07/03/2023,HTX nghêu Thành Đạt - Hiệp Thạnh - TX. Duyên Hải,Oxy(mg/l),5.0
07/03/2023,HTX nghêu Thành Đạt - Hiệp Thạnh - TX. Duyên Hải,Virus gây bệnhđốm trắng,
07/03/2023,HTX nghêu Thành Công – Mỹ Long Nam – Cầu Ngang,Độ mặn(‰),18
07/03/2023,HTX nghêu Thành Công – Mỹ Long Nam – Cầu Ngang,pH,8.0
07/03/2023,HTX nghêu Thành Công – Mỹ Long Nam – Cầu Ngang,Kiềm(mg/l),90
07/03/2023,HTX nghêu Thành Công – Mỹ Long Nam – Cầu Ngang,NH4/NH3(mg/l),0
07/03/2023,HTX nghêu Thành Công – Mỹ Long Nam – Cầu Ngang,Nhiệt độ (0C),28
07/03/2023,HTX nghêu Thành Công – Mỹ Long Nam – Cầu Ngang,Oxy(mg/l),3.0
07/03/2023,HTX nghêu Thành Công – Mỹ Long Nam – Cầu Ngang,Virus gây bệnhđốm trắng,
10/08/2021,Sông Hiệp Mỹ - Cầu Ngang (gần cầu Hiệp Mỹ),Độ mặn(‰),3
10/08/2021,Sông Hiệp Mỹ - Cầu Ngang (gần cầu Hiệp Mỹ),pH,7.0
10/08/2021,Sông Hiệp Mỹ - Cầu Ngang (gần cầu Hiệp Mỹ),Kiềm(mg/l),107
10/08/2021,Sông Hiệp Mỹ - Cầu Ngang (gần cầu Hiệp Mỹ),Nhiệt độ nước (oC),29
10/08/2021,Cống Thâu Râu - Mỹ Long Nam - Cầu Ngang,Độ mặn(‰),5
10/08/2021,Cống Thâu Râu - Mỹ Long Nam - Cầu Ngang,pH,7.5
10/08/2021,Cống Thâu Râu - Mỹ Long Nam - Cầu Ngang,Kiềm(mg/l),90
10/08/2021,Cống Thâu Râu - Mỹ Long Nam - Cầu Ngang,Nhiệt độ nước (oC),26
10/08/2021,Cầu Sông Giăng - Hiệp Thạnh - TX. Duyên Hải,Độ mặn(‰),5
10/08/2021,Cầu Sông Giăng - Hiệp Thạnh - TX. Duyên Hải,pH,7.5
10/08/2021,Cầu Sông Giăng - Hiệp Thạnh - TX. Duyên Hải,Kiềm(mg/l),90
10/08/2021,Cầu Sông Giăng - Hiệp Thạnh - TX. Duyên Hải,Nhiệt độ nước (oC),27
10/08/2021,Sông Long Toàn - Duyên Hải (Cầu Long Toàn),Độ mặn(‰),13
10/08/2021,Sông Long Toàn - Duyên Hải (Cầu Long Toàn),pH,8.5
10/08/2021,Sông Long Toàn - Duyên Hải (Cầu Long Toàn),Kiềm(mg/l),90
10/08/2021,Sông Long Toàn - Duyên Hải (Cầu Long Toàn),Nhiệt độ nước (oC),30
10/08/2021,Cầu Kênh Đào - Long Vĩnh - Duyên Hải,Độ mặn(‰),5
10/08/2021,Cầu Kênh Đào - Long Vĩnh - Duyên Hải,pH,7.5
10/08/2021,Cầu Kênh Đào - Long Vĩnh - Duyên Hải,Kiềm(mg/l),107
10/08/2021,Cầu Kênh Đào - Long Vĩnh - Duyên Hải,Nhiệt độ nước (oC),28
10/08/2021,Cống La Bang - Đôn Châu - Duyên Hải,Độ mặn(‰),3
10/08/2021,Cống La Bang - Đôn Châu - Duyên Hải,pH,7.0
10/08/2021,Cống La Bang - Đôn Châu - Duyên Hải,Kiềm(mg/l),70
10/08/2021,Cống La Bang - Đôn Châu - Duyên Hải,Nhiệt độ nước (oC),28
10/08/2021,Bến đò Phước Thiện - Đông Hải - Duyên Hải,Độ mặn(‰),11
10/08/2021,Bến đò Phước Thiện - Đông Hải - Duyên Hải,pH,7.5
10/08/2021,Bến đò Phước Thiện - Đông Hải - Duyên Hải,Kiềm(mg/l),90
10/08/2021,Bến đò Phước Thiện - Đông Hải - Duyên Hải,Nhiệt độ nước (oC),28
10/08/2021,HTX nghêu Thành Đạt - Hiệp Thạnh - TX. Duyên Hải,Độ mặn(‰),11
10/08/2021,HTX nghêu Thành Đạt - Hiệp Thạnh - TX. Duyên Hải,pH,8.0
10/08/2021,HTX nghêu Thành Đạt - Hiệp Thạnh - TX. Duyên Hải,Kiềm(mg/l),90
10/08/2021,HTX nghêu Thành Đạt - Hiệp Thạnh - TX. Duyên Hải,Nhiệt độ nước (oC),30
09/07/2019,Sông Hiệp Mỹ - Cầu Ngang (gần cầu Hiệp Mỹ),Độ mặn(‰),5
09/07/2019,Sông Hiệp Mỹ - Cầu Ngang (gần cầu Hiệp Mỹ),pH,8.0
09/07/2019,Sông Hiệp Mỹ - Cầu Ngang (gần cầu Hiệp Mỹ),Kiềm(mg/l),100
09/07/2019,Sông Hiệp Mỹ - Cầu Ngang (gần cầu Hiệp Mỹ),Nhiệt độ nước (oC),28
09/07/2019,Cống Thâu Râu -Mỹ LongNam- Cầu Ngang,Độ mặn(‰),6
09/07/2019,Cống Thâu Râu -Mỹ LongNam- Cầu Ngang,pH,8.0
09/07/2019,Cống Thâu Râu -Mỹ LongNam- Cầu Ngang,Kiềm(mg/l),108
09/07/2019,Cống Thâu Râu -Mỹ LongNam- Cầu Ngang,Nhiệt độ nước (oC),29
09/07/2019,Cầu Sông Giăng - Hiệp Thạnh - TX. Duyên Hải,Độ mặn(‰),6
09/07/2019,Cầu Sông Giăng - Hiệp Thạnh - TX. Duyên Hải,pH,8.0
09/07/2019,Cầu Sông Giăng - Hiệp Thạnh - TX. Duyên Hải,Kiềm(mg/l),90
09/07/2019,Cầu Sông Giăng - Hiệp Thạnh - TX. Duyên Hải,Nhiệt độ nước (oC),29
09/07/2019,Sông Long Toàn - Duyên Hải (Cầu Long Toàn),Độ mặn(‰),14
09/07/2019,Sông Long Toàn - Duyên Hải (Cầu Long Toàn),pH,8.5
09/07/2019,Sông Long Toàn - Duyên Hải (Cầu Long Toàn),Kiềm(mg/l),90
09/07/2019,Sông Long Toàn - Duyên Hải (Cầu Long Toàn),Nhiệt độ nước (oC),30
09/07/2019,Cầu Kênh Đào - Long Vĩnh - Duyên Hải,Độ mặn(‰),6
09/07/2019,Cầu Kênh Đào - Long Vĩnh - Duyên Hải,pH,8.0
09/07/2019,Cầu Kênh Đào - Long Vĩnh - Duyên Hải,Kiềm(mg/l),90
09/07/2019,Cầu Kênh Đào - Long Vĩnh - Duyên Hải,Nhiệt độ nước (oC),28
09/07/2019,Cống La Bang - Đôn Châu - Duyên Hải,Độ mặn(‰),6
09/07/2019,Cống La Bang - Đôn Châu - Duyên Hải,pH,7.5
09/07/2019,Cống La Bang - Đôn Châu - Duyên Hải,Kiềm(mg/l),70
09/07/2019,Cống La Bang - Đôn Châu - Duyên Hải,Nhiệt độ nước (oC),29
09/07/2019,Bến đò Phước Thiện - Đông Hải - Duyên Hải,Độ mặn(‰),11
09/07/2019,Bến đò Phước Thiện - Đông Hải - Duyên Hải,pH,8.0
09/07/2019,Bến đò Phước Thiện - Đông Hải - Duyên Hải,Kiềm(mg/l),90
09/07/2019,Bến đò Phước Thiện - Đông Hải - Duyên Hải,Nhiệt độ nước (oC),28
09/07/2019,HTX nghêu Thành Đạt - Hiệp Thạnh - TX.DH,Độ mặn(‰),7
09/07/2019,HTX nghêu Thành Đạt - Hiệp Thạnh - TX.DH,pH,7.5
09/07/2019,HTX nghêu Thành Đạt - Hiệp Thạnh - TX.DH,Kiềm(mg/l),107
09/07/2019,HTX nghêu Thành Đạt - Hiệp Thạnh - TX.DH,Nhiệt độ nước (oC),28
17/09/2019,Sông Hiệp Mỹ - Cầu Ngang (gần cầu Hiệp Mỹ),Độ mặn(‰),2
17/09/2019,Sông Hiệp Mỹ - Cầu Ngang (gần cầu Hiệp Mỹ),pH,7.5
17/09/2019,Sông Hiệp Mỹ - Cầu Ngang (gần cầu Hiệp Mỹ),Kiềm(mg/l),90
17/09/2019,Sông Hiệp Mỹ - Cầu Ngang (gần cầu Hiệp Mỹ),Nhiệt độ nước (oC),29
17/09/2019,Cống Thâu Râu -Mỹ LongNam- Cầu Ngang,Độ mặn(‰),3
17/09/2019,Cống Thâu Râu -Mỹ LongNam- Cầu Ngang,pH,7.5
17/09/2019,Cống Thâu Râu -Mỹ LongNam- Cầu Ngang,Kiềm(mg/l),90
17/09/2019,Cống Thâu Râu -Mỹ LongNam- Cầu Ngang,Nhiệt độ nước (oC),29
17/09/2019,Cầu Sông Giăng - Hiệp Thạnh - TX. Duyên Hải,Độ mặn(‰),5
17/09/2019,Cầu Sông Giăng - Hiệp Thạnh - TX. Duyên Hải,pH,8.0
17/09/2019,Cầu Sông Giăng - Hiệp Thạnh - TX. Duyên Hải,Kiềm(mg/l),90
17/09/2019,Cầu Sông Giăng - Hiệp Thạnh - TX. Duyên Hải,Nhiệt độ nước (oC),28
17/09/2019,Sông Long Toàn - Duyên Hải (Cầu Long Toàn),Độ mặn(‰),5
17/09/2019,Sông Long Toàn - Duyên Hải (Cầu Long Toàn),pH,8.5
17/09/2019,Sông Long Toàn - Duyên Hải (Cầu Long Toàn),Kiềm(mg/l),90
17/09/2019,Sông Long Toàn - Duyên Hải (Cầu Long Toàn),Nhiệt độ nước (oC),29
17/09/2019,Cầu Kênh Đào - Long Vĩnh - Duyên Hải,Độ mặn(‰),2
17/09/2019,Cầu Kênh Đào - Long Vĩnh - Duyên Hải,pH,8.0
17/09/2019,Cầu Kênh Đào - Long Vĩnh - Duyên Hải,Kiềm(mg/l),80
17/09/2019,Cầu Kênh Đào - Long Vĩnh - Duyên Hải,Nhiệt độ nước (oC),28
17/09/2019,Cống La Bang - Đôn Châu - Duyên Hải,Độ mặn(‰),0
17/09/2019,Cống La Bang - Đôn Châu - Duyên Hải,pH,7.0
17/09/2019,Cống La Bang - Đôn Châu - Duyên Hải,Kiềm(mg/l),70
17/09/2019,Cống La Bang - Đôn Châu - Duyên Hải,Nhiệt độ nước (oC),30
17/09/2019,Bến đò Phước Thiện - Đông Hải - Duyên Hải,Độ mặn(‰),11
17/09/2019,Bến đò Phước Thiện - Đông Hải - Duyên Hải,pH,7.5
17/09/2019,Bến đò Phước Thiện - Đông Hải - Duyên Hải,Kiềm(mg/l),80
17/09/2019,Bến đò Phước Thiện - Đông Hải - Duyên Hải,Nhiệt độ nước (oC),28
17/09/2019,HTX nghêu Thành Đạt - Hiệp Thạnh - TX.DH,Độ mặn(‰),3
17/09/2019,HTX nghêu Thành Đạt - Hiệp Thạnh - TX.DH,pH,8.0
17/09/2019,HTX nghêu Thành Đạt - Hiệp Thạnh - TX.DH,Kiềm(mg/l),60
17/09/2019,HTX nghêu Thành Đạt - Hiệp Thạnh - TX.DH,Nhiệt độ nước (oC),27
19/04/2019,Sông Cổ Chiên - Châu Thành (cầu Rạch Gốc),Độ mặn(‰),5
19/04/2019,Sông Cổ Chiên - Châu Thành (cầu Rạch Gốc),pH,7.5
19/04/2019,Sông Cổ Chiên - Châu Thành (cầu Rạch Gốc),Kiềm(mg/l),80
19/04/2019,Sông Cổ Chiên - Châu Thành (cầu Rạch Gốc),NH4/NH3(mg/l),0
19/04/2019,Sông Cổ Chiên - Châu Thành (cầu Rạch Gốc),Nhiệt độ (0C),30
19/04/2019,Sông Cổ Chiên - Châu Thành (cầu Rạch Gốc),Virus gây bệnhđốm trắng,Không nhiễm
19/04/2019,Sông Vinh Kim - Cầu Ngang (gần Cầu Vinh Kim),Độ mặn(‰),0
19/04/2019,Sông Vinh Kim - Cầu Ngang (gần Cầu Vinh Kim),pH,7.5
19/04/2019,Sông Vinh Kim - Cầu Ngang (gần Cầu Vinh Kim),Kiềm(mg/l),70
19/04/2019,Sông Vinh Kim - Cầu Ngang (gần Cầu Vinh Kim),NH4/NH3(mg/l),0
19/04/2019,Sông Vinh Kim - Cầu Ngang (gần Cầu Vinh Kim),Nhiệt độ (0C),29
19/04/2019,Sông Vinh Kim - Cầu Ngang (gần Cầu Vinh Kim),Virus gây bệnhđốm trắng,Không nhiễm
19/04/2019,Sông Hiệp Mỹ - Cầu Ngang (gần cầu Hiệp Mỹ),Độ mặn(‰),13
19/04/2019,Sông Hiệp Mỹ - Cầu Ngang (gần cầu Hiệp Mỹ),pH,8.0
19/04/2019,Sông Hiệp Mỹ - Cầu Ngang (gần cầu Hiệp Mỹ),Kiềm(mg/l),107
19/04/2019,Sông Hiệp Mỹ - Cầu Ngang (gần cầu Hiệp Mỹ),NH4/NH3(mg/l),0
19/04/2019,Sông Hiệp Mỹ - Cầu Ngang (gần cầu Hiệp Mỹ),Nhiệt độ (0C),29
19/04/2019,Sông Hiệp Mỹ - Cầu Ngang (gần cầu Hiệp Mỹ),Virus gây bệnhđốm trắng,Không nhiễm
19/04/2019,Cống Thâu Râu -Mỹ LongNam- Cầu Ngang,Độ mặn(‰),13
19/04/2019,Cống Thâu Râu -Mỹ LongNam- Cầu Ngang,pH,7.5
19/04/2019,Cống Thâu Râu -Mỹ LongNam- Cầu Ngang,Kiềm(mg/l),90
19/04/2019,Cống Thâu Râu -Mỹ LongNam- Cầu Ngang,NH4/NH3(mg/l),0
19/04/2019,Cống Thâu Râu -Mỹ LongNam- Cầu Ngang,Nhiệt độ (0C),32
19/04/2019,Cống Thâu Râu -Mỹ LongNam- Cầu Ngang,Virus gây bệnhđốm trắng,Nhiễm bệnh
19/04/2019,Cầu Sông Giăng - Hiệp Thạnh - TX. Duyên Hải,Độ mặn(‰),12
19/04/2019,Cầu Sông Giăng - Hiệp Thạnh - TX. Duyên Hải,pH,8.0
19/04/2019,Cầu Sông Giăng - Hiệp Thạnh - TX. Duyên Hải,Kiềm(mg/l),90
19/04/2019,Cầu Sông Giăng - Hiệp Thạnh - TX. Duyên Hải,NH4/NH3(mg/l),0
19/04/2019,Cầu Sông Giăng - Hiệp Thạnh - TX. Duyên Hải,Nhiệt độ (0C),30
19/04/2019,Cầu Sông Giăng - Hiệp Thạnh - TX. Duyên Hải,Virus gây bệnhđốm trắng,Không nhiễm
19/04/2019,Sông Long Toàn - Duyên Hải (Cầu Long Toàn),Độ mặn(‰),16
19/04/2019,Sông Long Toàn - Duyên Hải (Cầu Long Toàn),pH,8.5
19/04/2019,Sông Long Toàn - Duyên Hải (Cầu Long Toàn),Kiềm(mg/l),90
19/04/2019,Sông Long Toàn - Duyên Hải (Cầu Long Toàn),NH4/NH3(mg/l),0
19/04/2019,Sông Long Toàn - Duyên Hải (Cầu Long Toàn),Nhiệt độ (0C),32
19/04/2019,Sông Long Toàn - Duyên Hải (Cầu Long Toàn),Virus gây bệnhđốm trắng,Nhiễm bệnh
19/04/2019,Cầu Kênh Đào - Long Vĩnh - Duyên Hải,Độ mặn(‰),14
19/04/2019,Cầu Kênh Đào - Long Vĩnh - Duyên Hải,pH,8.0
19/04/2019,Cầu Kênh Đào - Long Vĩnh - Duyên Hải,Kiềm(mg/l),90
19/04/2019,Cầu Kênh Đào - Long Vĩnh - Duyên Hải,NH4/NH3(mg/l),0
19/04/2019,Cầu Kênh Đào - Long Vĩnh - Duyên Hải,Nhiệt độ (0C),29
19/04/2019,Cầu Kênh Đào - Long Vĩnh - Duyên Hải,Virus gây bệnhđốm trắng,Không nhiễm
19/04/2019,Cống La Bang - Đôn Châu - Duyên Hải,Độ mặn(‰),10
19/04/2019,Cống La Bang - Đôn Châu - Duyên Hải,pH,7.0
19/04/2019,Cống La Bang - Đôn Châu - Duyên Hải,Kiềm(mg/l),70
19/04/2019,Cống La Bang - Đôn Châu - Duyên Hải,NH4/NH3(mg/l),0
19/04/2019,Cống La Bang - Đôn Châu - Duyên Hải,Nhiệt độ (0C),31
19/04/2019,Cống La Bang - Đôn Châu - Duyên Hải,Virus gây bệnhđốm trắng,Không nhiễm
19/04/2019,Bến đò Phước Thiện - Đông Hải - Duyên Hải,Độ mặn(‰),18
19/04/2019,Bến đò Phước Thiện - Đông Hải - Duyên Hải,pH,8.0
19/04/2019,Bến đò Phước Thiện - Đông Hải - Duyên Hải,Kiềm(mg/l),90
19/04/2019,Bến đò Phước Thiện - Đông Hải - Duyên Hải,NH4/NH3(mg/l),0
19/04/2019,Bến đò Phước Thiện - Đông Hải - Duyên Hải,Nhiệt độ (0C),29
19/04/2019,Bến đò Phước Thiện - Đông Hải - Duyên Hải,Virus gây bệnhđốm trắng,
19/04/2019,Vàm Trà Kha - Định An - Trà Cú,Độ mặn(‰),6
19/04/2019,Vàm Trà Kha - Định An - Trà Cú,pH,7.5
19/04/2019,Vàm Trà Kha - Định An - Trà Cú,Kiềm(mg/l),72
19/04/2019,Vàm Trà Kha - Định An - Trà Cú,NH4/NH3(mg/l),0
19/04/2019,Vàm Trà Kha - Định An - Trà Cú,Nhiệt độ (0C),31
19/04/2019,Vàm Trà Kha - Định An - Trà Cú,Virus gây bệnhđốm trắng,
19/04/2019,HTX nghêu Thành Đạt - Hiệp Thạnh - TX.DH,Độ mặn(‰),11
19/04/2019,HTX nghêu Thành Đạt - Hiệp Thạnh - TX.DH,pH,8.0
19/04/2019,HTX nghêu Thành Đạt - Hiệp Thạnh - TX.DH,Kiềm(mg/l),80
19/04/2019,HTX nghêu Thành Đạt - Hiệp Thạnh - TX.DH,NH4/NH3(mg/l),0
19/04/2019,HTX nghêu Thành Đạt - Hiệp Thạnh - TX.DH,Nhiệt độ (0C),29
19/04/2019,HTX nghêu Thành Đạt - Hiệp Thạnh - TX.DH,Virus gây bệnhđốm trắng,
23/02/2018,Sông Cổ Chiên - Châu Thành (cầu Rạch Gốc),Độ mặn(‰),2
23/02/2018,Sông Cổ Chiên - Châu Thành (cầu Rạch Gốc),pH,7.5
23/02/2018,Sông Cổ Chiên - Châu Thành (cầu Rạch Gốc),Kiềm(mg/l),90
23/02/2018,Sông Cổ Chiên - Châu Thành (cầu Rạch Gốc),Nhiệt độ nước (oC),29
23/02/2018,Bến phà Bãi Vàng - Hưng Mỹ - Châu Thành,Độ mặn(‰),3
23/02/2018,Bến phà Bãi Vàng - Hưng Mỹ - Châu Thành,pH,7.5
23/02/2018,Bến phà Bãi Vàng - Hưng Mỹ - Châu Thành,Kiềm(mg/l),72
23/02/2018,Bến phà Bãi Vàng - Hưng Mỹ - Châu Thành,Nhiệt độ nước (oC),29
23/02/2018,Sông Vinh Kim - Cầu Ngang (gần Cầu Vinh Kim),Độ mặn(‰),0
23/02/2018,Sông Vinh Kim - Cầu Ngang (gần Cầu Vinh Kim),pH,7.5
23/02/2018,Sông Vinh Kim - Cầu Ngang (gần Cầu Vinh Kim),Kiềm(mg/l),72
23/02/2018,Sông Vinh Kim - Cầu Ngang (gần Cầu Vinh Kim),Nhiệt độ nước (oC),26
23/02/2018,Cống Thâu Râu -Mỹ LongNam- Cầu Ngang,Độ mặn(‰),12
23/02/2018,Cống Thâu Râu -Mỹ LongNam- Cầu Ngang,pH,8.0
23/02/2018,Cống Thâu Râu -Mỹ LongNam- Cầu Ngang,Kiềm(mg/l),107
23/02/2018,Cống Thâu Râu -Mỹ LongNam- Cầu Ngang,Nhiệt độ nước (oC),29
23/02/2018,Cống Ba Diệp - Thạnh Hòa Sơn - Cầu Ngang,Độ mặn(‰),7
23/02/2018,Cống Ba Diệp - Thạnh Hòa Sơn - Cầu Ngang,pH,7.7
23/02/2018,Cống Ba Diệp - Thạnh Hòa Sơn - Cầu Ngang,Kiềm(mg/l),100
23/02/2018,Cống Ba Diệp - Thạnh Hòa Sơn - Cầu Ngang,Nhiệt độ nước (oC),29
23/02/2018,Sông Hiệp Mỹ - Cầu Ngang (gần cầu Hiệp Mỹ),Độ mặn(‰),
23/02/2018,Sông Hiệp Mỹ - Cầu Ngang (gần cầu Hiệp Mỹ),pH,
23/02/2018,Sông Hiệp Mỹ - Cầu Ngang (gần cầu Hiệp Mỹ),Kiềm(mg/l),
23/02/2018,Sông Hiệp Mỹ - Cầu Ngang (gần cầu Hiệp Mỹ),Nhiệt độ nước (oC),
23/02/2018,Cầu Sông Giăng - Hiệp Thạnh - TX. Duyên Hải,Độ mặn(‰),10
23/02/2018,Cầu Sông Giăng - Hiệp Thạnh - TX. Duyên Hải,pH,8.0
23/02/2018,Cầu Sông Giăng - Hiệp Thạnh - TX. Duyên Hải,Kiềm(mg/l),90
23/02/2018,Cầu Sông Giăng - Hiệp Thạnh - TX. Duyên Hải,Nhiệt độ nước (oC),30
23/02/2018,Sông Long Toàn - Duyên Hải (Cầu Long Toàn),Độ mặn(‰),20
23/02/2018,Sông Long Toàn - Duyên Hải (Cầu Long Toàn),pH,8.5
23/02/2018,Sông Long Toàn - Duyên Hải (Cầu Long Toàn),Kiềm(mg/l),72
23/02/2018,Sông Long Toàn - Duyên Hải (Cầu Long Toàn),Nhiệt độ nước (oC),29
23/02/2018,Cống La Bang - Đôn Châu - Duyên Hải,Độ mặn(‰),18
23/02/2018,Cống La Bang - Đôn Châu - Duyên Hải,pH,7.5
23/02/2018,Cống La Bang - Đôn Châu - Duyên Hải,Kiềm(mg/l),90
23/02/2018,Cống La Bang - Đôn Châu - Duyên Hải,Nhiệt độ nước (oC),30
23/02/2018,Cầu Kênh Đào - Long Vĩnh - Duyên Hải,Độ mặn(‰),17
23/02/2018,Cầu Kênh Đào - Long Vĩnh - Duyên Hải,pH,8.0
23/02/2018,Cầu Kênh Đào - Long Vĩnh - Duyên Hải,Kiềm(mg/l),107
23/02/2018,Cầu Kênh Đào - Long Vĩnh - Duyên Hải,Nhiệt độ nước (oC),26
23/02/2018,Sông Láng Chim - Duyên Hải (Cầu Láng Chim),Độ mặn(‰),16
23/02/2018,Sông Láng Chim - Duyên Hải (Cầu Láng Chim),pH,8.0
23/02/2018,Sông Láng Chim - Duyên Hải (Cầu Láng Chim),Kiềm(mg/l),90
23/02/2018,Sông Láng Chim - Duyên Hải (Cầu Láng Chim),Nhiệt độ nước (oC),29
23/02/2018,Bến đò Phước Thiện - Đông Hải - Duyên Hải,Độ mặn(‰),
23/02/2018,Bến đò Phước Thiện - Đông Hải - Duyên Hải,pH,
23/02/2018,Bến đò Phước Thiện - Đông Hải - Duyên Hải,Kiềm(mg/l),
23/02/2018,Bến đò Phước Thiện - Đông Hải - Duyên Hải,Nhiệt độ nước (oC),
23/02/2018,Cống Đại An -Đại An -Trà Cú,Độ mặn(‰),
23/02/2018,Cống Đại An -Đại An -Trà Cú,pH,
23/02/2018,Cống Đại An -Đại An -Trà Cú,Kiềm(mg/l),
23/02/2018,Cống Đại An -Đại An -Trà Cú,Nhiệt độ nước (oC),
23/02/2018,Vàm Trà Kha - Định An - Trà Cú,Độ mặn(‰),6
23/02/2018,Vàm Trà Kha - Định An - Trà Cú,pH,7.5
23/02/2018,Vàm Trà Kha - Định An - Trà Cú,Kiềm(mg/l),90
23/02/2018,Vàm Trà Kha - Định An - Trà Cú,Nhiệt độ nước (oC),30
29/12/2017,Sông Hiệp Mỹ - Cầu Ngang (gần cầu Hiệp Mỹ),Độ mặn(‰),7
29/12/2017,Sông Hiệp Mỹ - Cầu Ngang (gần cầu Hiệp Mỹ),pH,8.0
29/12/2017,Sông Hiệp Mỹ - Cầu Ngang (gần cầu Hiệp Mỹ),Kiềm(mg/l),72
29/12/2017,Sông Hiệp Mỹ - Cầu Ngang (gần cầu Hiệp Mỹ),Nhiệt độ nước (oC),28
29/12/2017,Cống Thâu Râu - Mỹ Long Nam - Cầu Ngang,Độ mặn(‰),8
29/12/2017,Cống Thâu Râu - Mỹ Long Nam - Cầu Ngang,pH,7.5
29/12/2017,Cống Thâu Râu - Mỹ Long Nam - Cầu Ngang,Kiềm(mg/l),90
29/12/2017,Cống Thâu Râu - Mỹ Long Nam - Cầu Ngang,Nhiệt độ nước (oC),28
29/12/2017,Cầu Sông Giăng - Hiệp Thạnh - TX. Duyên Hải,Độ mặn(‰),6
29/12/2017,Cầu Sông Giăng - Hiệp Thạnh - TX. Duyên Hải,pH,8.0
29/12/2017,Cầu Sông Giăng - Hiệp Thạnh - TX. Duyên Hải,Kiềm(mg/l),90
29/12/2017,Cầu Sông Giăng - Hiệp Thạnh - TX. Duyên Hải,Nhiệt độ nước (oC),30
29/12/2017,Long Toàn - TX. Duyên Hải,Độ mặn(‰),14
29/12/2017,Long Toàn - TX. Duyên Hải,pH,8.5
29/12/2017,Long Toàn - TX. Duyên Hải,Kiềm(mg/l),72
29/12/2017,Long Toàn - TX. Duyên Hải,Nhiệt độ nước (oC),29
29/12/2017,Sông Láng Chim - TX.Duyên Hải (Cầu Láng Chim),Độ mặn(‰),11
29/12/2017,Sông Láng Chim - TX.Duyên Hải (Cầu Láng Chim),pH,8.0
29/12/2017,Sông Láng Chim - TX.Duyên Hải (Cầu Láng Chim),Kiềm(mg/l),90
29/12/2017,Sông Láng Chim - TX.Duyên Hải (Cầu Láng Chim),Nhiệt độ nước (oC),30
29/12/2017,Cầu Kênh Đào - Long Vĩnh - Duyên Hải,Độ mặn(‰),10
29/12/2017,Cầu Kênh Đào - Long Vĩnh - Duyên Hải,pH,8.0
29/12/2017,Cầu Kênh Đào - Long Vĩnh - Duyên Hải,Kiềm(mg/l),90
29/12/2017,Cầu Kênh Đào - Long Vĩnh - Duyên Hải,Nhiệt độ nước (oC),28
29/12/2017,Bến đò Phước Thiện - Đông Hải - Duyên Hải,Độ mặn(‰),16
29/12/2017,Bến đò Phước Thiện - Đông Hải - Duyên Hải,pH,7.5
29/12/2017,Bến đò Phước Thiện - Đông Hải - Duyên Hải,Kiềm(mg/l),90
29/12/2017,Bến đò Phước Thiện - Đông Hải - Duyên Hải,Nhiệt độ nước (oC),28
13/04/2021,Sông Cổ Chiên - Châu Thành (cầu Rạch Gốc),Độ mặn(‰),5
13/04/2021,Sông Cổ Chiên - Châu Thành (cầu Rạch Gốc),pH,7.5
13/04/2021,Sông Cổ Chiên - Châu Thành (cầu Rạch Gốc),Kiềm(mg/l),54
13/04/2021,Sông Cổ Chiên - Châu Thành (cầu Rạch Gốc),NH4/NH3(mg/l),0
13/04/2021,Sông Cổ Chiên - Châu Thành (cầu Rạch Gốc),Nhiệt độ (0C),28
13/04/2021,Sông Cổ Chiên - Châu Thành (cầu Rạch Gốc),Virus gây bệnhđốm trắng,Phát hiện
13/04/2021,Sông Vinh Kim - Cầu Ngang (gần Cầu Vinh Kim),Độ mặn(‰),4
13/04/2021,Sông Vinh Kim - Cầu Ngang (gần Cầu Vinh Kim),pH,7.5
13/04/2021,Sông Vinh Kim - Cầu Ngang (gần Cầu Vinh Kim),Kiềm(mg/l),90
13/04/2021,Sông Vinh Kim - Cầu Ngang (gần Cầu Vinh Kim),NH4/NH3(mg/l),0
13/04/2021,Sông Vinh Kim - Cầu Ngang (gần Cầu Vinh Kim),Nhiệt độ (0C),29
